"","uniprot","Protein.Acc","Protein.Descriptions","up.low","P.value..up.low.","iso_id","uniprot_seq_length","uniprot_seq_md5","coordinate_id","provider","from","to","template","qmean","qmean_norm","seqid","url"
"1","A0A178V5H8","AT4G17140.3","pleckstrin homology (PH) domain-containing protein","0.778712486","0.006106085","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","A0A1I9LNN0","AT3G50590.1","Transducin/WD40 repeat-like superfamily protein","1.090798606","0.271538619","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","A0A1I9LSB9","AT3G07030.1","Alba DNA/RNA-binding protein","1.234898657","8.87646e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","A0A1P8AT97","AT1G64790.1","ILITYHIA","0.779056632","0.152969972","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","A0A1P8AUR0","AT1G21170.1","Exocyst complex component SEC5","1.203633181","0.000514509","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","A0A1P8AXR3","AT2G38840.1","Guanylate-binding family protein","0.771971571","0.000412979","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","A0A1P8B902","AT4G38380.1","MATE efflux family protein","1.784800153","0.043643951","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","A0JQ86","AT5G43140.1","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein","0.841720585","0.23187063","254","18b8d8eb3a033a4e56561a051966ee69","5eff5343f71f94bb30888ca5","SWISSMODEL","91","133","6hiv.19.A","-1.5175722663","0.5849943914","30.952381134","https://swissmodel.expasy.org/repository/uniprot/A0JQ86.pdb?provider=swissmodel&from=91&to=133&template=6hiv.19.A&provider=swissmodel","A0JQ86"
"9","A0MFS9","AT1G73020.2","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF590 (InterPro:IPR007632).","0.785482656","0.032007064","665","562bcf6abe1e632d9d4db64999e801b6","5f00a540f1d9a473e8020076","SWISSMODEL","11","641","6r7y.1.A","-4.2864999735","0.6136015512","24.8333339691","https://swissmodel.expasy.org/repository/uniprot/A0MFS9.pdb?provider=swissmodel&from=11&to=641&template=6r7y.1.A&provider=swissmodel","A0MFS9"
"10","A1A6I1","AT1G69980.1","unknown protein; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 30 Blast hits to 30 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 30; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).","1.311048645","0.118232491","205","c023de930d008115f87bc138dc9115b9","5efff06334524a19b8071c4a","SWISSMODEL","58","95","4a3j.1.L","-2.7416745856","0.4377549695","31.25","https://swissmodel.expasy.org/repository/uniprot/A1A6I1.pdb?provider=swissmodel&from=58&to=95&template=4a3j.1.L&provider=swissmodel","A1A6I1"
"11","A1A6M1","AT4G13670.1","plastid transcriptionally active 5","1.278758087","0.002816386","A1A6M1-1","387","29c01143cdc5043f5deb3eb77dc3ea35","5efdb4d4a9b5a2919655fda9","SWISSMODEL","281","307","4fet.1.A","-2.366862142","0.4819784508","32.5","https://swissmodel.expasy.org/repository/uniprot/A1A6M1.pdb?provider=swissmodel&from=281&to=307&template=4fet.1.A&provider=swissmodel"
"12","A1A6M1","AT4G13670.1","plastid transcriptionally active 5","1.278758087","0.002816386","A1A6M1-1","387","29c01143cdc5043f5deb3eb77dc3ea35","5efdb4d4a9b5a2919655fdad","SWISSMODEL","312","386","1nlt.1.A","-5.5973464093","0.4294457717","31.428571701","https://swissmodel.expasy.org/repository/uniprot/A1A6M1.pdb?provider=swissmodel&from=312&to=386&template=1nlt.1.A&provider=swissmodel"
"13","A1L4Y4","AT5G61510.1","GroES-like zinc-binding alcohol dehydrogenase family protein","0.916467054","0.452985737","406","9acf64cedc09512feddfff5fd810b119","5efe5129c2f9986d307fb088","SWISSMODEL","84","406","1qor.1.A","-0.8145276162","0.7350769165","48.7654304504","https://swissmodel.expasy.org/repository/uniprot/A1L4Y4.pdb?provider=swissmodel&from=84&to=406&template=1qor.1.A&provider=swissmodel","A1L4Y4"
"14","A3KPF5","AT1G52260.1","PDI-like 1-5","0.536993088","4.25329e-06","537","510e13f96e94be6ee12016900bfc78fe","5effaf61e59477122a16438f","SWISSMODEL","75","528","6i7s.1.A","-2.5899843744","0.6844534334","27.008928299","https://swissmodel.expasy.org/repository/uniprot/A3KPF5.pdb?provider=swissmodel&from=75&to=528&template=6i7s.1.A&provider=swissmodel","A3KPF5"
"15","A3KPF5","AT1G52260.1","PDI-like 1-5","0.536993088","4.25329e-06","537","510e13f96e94be6ee12016900bfc78fe","5effaf61e59477122a16439f","SWISSMODEL","72","528","4ekz.1.A","-2.666890798","0.6832269234","26.8292675018","https://swissmodel.expasy.org/repository/uniprot/A3KPF5.pdb?provider=swissmodel&from=72&to=528&template=4ekz.1.A&provider=swissmodel","A3KPF5"
"16","A3KPF5","AT1G52260.1","PDI-like 1-5","0.536993088","4.25329e-06","537","510e13f96e94be6ee12016900bfc78fe","5effaf61e59477122a164393","SWISSMODEL","185","527","6i7s.1.A","-4.9564304728","0.6011206896","16.065574646","https://swissmodel.expasy.org/repository/uniprot/A3KPF5.pdb?provider=swissmodel&from=185&to=527&template=6i7s.1.A&provider=swissmodel","A3KPF5"
"17","A3KPF5","AT1G52260.1","PDI-like 1-5","0.536993088","4.25329e-06","537","510e13f96e94be6ee12016900bfc78fe","5effaf61e59477122a164397","SWISSMODEL","82","529","5ayl.1.A","-3.3032588241","0.6617420844","17.5903606415","https://swissmodel.expasy.org/repository/uniprot/A3KPF5.pdb?provider=swissmodel&from=82&to=529&template=5ayl.1.A&provider=swissmodel","A3KPF5"
"18","A3KPF5","AT1G52260.1","PDI-like 1-5","0.536993088","4.25329e-06","537","510e13f96e94be6ee12016900bfc78fe","5effaf61e59477122a1643a3","SWISSMODEL","82","527","3apo.1.A","-3.8946494526","0.6432334674","17.5903606415","https://swissmodel.expasy.org/repository/uniprot/A3KPF5.pdb?provider=swissmodel&from=82&to=527&template=3apo.1.A&provider=swissmodel","A3KPF5"
"19","A3KPF5","AT1G52260.1","PDI-like 1-5","0.536993088","4.25329e-06","537","510e13f96e94be6ee12016900bfc78fe","5effaf61e59477122a1643a7","SWISSMODEL","78","439","5gu6.1.A","-3.5760672735","0.6481428371","21.1428565979","https://swissmodel.expasy.org/repository/uniprot/A3KPF5.pdb?provider=swissmodel&from=78&to=439&template=5gu6.1.A&provider=swissmodel","A3KPF5"
"20","A3KPF5","AT1G52260.1","PDI-like 1-5","0.536993088","4.25329e-06","537","510e13f96e94be6ee12016900bfc78fe","5effaf61e59477122a16439b","SWISSMODEL","75","527","5xf7.1.A","-4.1634770208","0.6332675098","17.5675678253","https://swissmodel.expasy.org/repository/uniprot/A3KPF5.pdb?provider=swissmodel&from=75&to=527&template=5xf7.1.A&provider=swissmodel","A3KPF5"
"21","A4FVN8","AT1G10580.1","Transducin/WD40 repeat-like superfamily protein","1.735560172","8.04785e-05","573","e21203e69ace25f406c410a13c1c2cdc","5cd72e399ffd12009e826591","SWISSMODEL","55","572","6icz.1.W","-4.8926077113","0.6128526537","56.5922927856","https://swissmodel.expasy.org/repository/uniprot/A4FVN8.pdb?provider=swissmodel&from=55&to=572&template=6icz.1.W&provider=swissmodel","A4FVN8"
"22","A4FVR1","AT1G55820.1","Kinase-related protein of unknown function (DUF1296)","1.283147757","0.008876029","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"23","A4IJ37","AT2G02910.1","Protein of unknown function (DUF616)","0.887228012","0.198761998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24","A7KNH7","ATMG00665.1","NADH dehydrogenase 5B","0.6152804","0.005926044","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25","A8MPR5","AT3G16290.1","AAA-type ATPase family protein","0.953858091","0.518054965","876","990feecea9d9fd39cbf124c4b24418de","5f0153c8de2831bbfb2ee99f","SWISSMODEL","405","838","3kds.1.F","-1.369570491","0.7156573967","42.6573410034","https://swissmodel.expasy.org/repository/uniprot/A8MPR5.pdb?provider=swissmodel&from=405&to=838&template=3kds.1.F&provider=swissmodel","A8MPR5"
"26","A8MPR5","AT3G16290.1","AAA-type ATPase family protein","0.953858091","0.518054965","876","990feecea9d9fd39cbf124c4b24418de","5f0153c8de2831bbfb2ee99a","SWISSMODEL","406","841","6gcn.1.E","-1.5070913428","0.7108458965","42.9234352112","https://swissmodel.expasy.org/repository/uniprot/A8MPR5.pdb?provider=swissmodel&from=406&to=841&template=6gcn.1.E&provider=swissmodel","A8MPR5"
"27","A8R7K9","AT3G51310.1","VPS35 homolog C","1.722671719","4.52045e-05","790","87038a7ad80cb2c031b850966f874bb8","5f0112ad466748f4d4064b62","SWISSMODEL","9","769","6vac.1.A","-3.1142035259","0.6546171828","44.8051948547","https://swissmodel.expasy.org/repository/uniprot/A8R7K9.pdb?provider=swissmodel&from=9&to=769&template=6vac.1.A&provider=swissmodel","A8R7K9"
