uniprot,Protein.Acc,Protein.Descriptions,up/low,P value.(up/low)
Q08733,AT1G01620.1,plasma membrane intrinsic protein 1C,8.094715824,3.23802E-06
Q9FKT1,AT5G56170.1,LORELEI-LIKE-GPI-ANCHORED PROTEIN 1,5.597114316,1.17361E-05
Q9SR10,AT3G04640.1,glycine-rich protein,5.557190491,0.000184415
Q39131,AT5G15350.1,early nodulin-like protein 17,5.362221847,3.09396E-07
Q9M2K6,AT3G58100.1,plasmodesmata callose-binding protein 5,4.610159267,5.28141E-07
Q9LT87,AT3G19300.1,Protein kinase superfamily protein,4.571397713,7.29804E-07
Q39182,AT2G02100.1,low-molecular-weight cysteine-rich 69,4.48777238,8.59067E-05
Q93ZH0,AT1G21880.2,lysm domain GPI-anchored protein 1 precursor,4.477929585,6.49114E-06
P61837,AT3G61430.2,plasma membrane intrinsic protein 1A,4.450098229,9.15282E-06
Q9ZU91,AT2G01630.1,O-Glycosyl hydrolases family 17 protein,4.335653025,3.80538E-07
Q41914,AT2G02120.1,Scorpion toxin-like knottin superfamily protein,3.909210961,0.000447669
Q9SU40,AT4G12420.2,Cupredoxin superfamily protein,3.865262172,2.5338E-07
Q8RV79,AT2G03750.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein,3.820778125,4.2588E-06
P43286,AT3G53420.1,plasma membrane intrinsic protein 2A,3.703418603,0.000103328
Q9MAC1,AT3G01070.1,early nodulin-like protein 16,3.689230306,1.41263E-06
O23006,AT2G17120.1,lysm domain GPI-anchored protein 2 precursor,3.526287334,6.32325E-06
Q8W576,AT1G61065.1,Protein of unknown function (DUF1218),3.484140278,2.35327E-06
Q9M1T6,AT3G45230.1,hydroxyproline-rich glycoprotein family protein,3.452743675,0.000346615
Q9FKH6,AT5G35735.1,Auxin-responsive family protein,3.449893092,5.35933E-06
Q944C1,AT5G58700.1,phosphatidylinositol-speciwc phospholipase C4,3.447651995,3.16044E-06
Q9FGH4,AT5G58480.1,O-Glycosyl hydrolases family 17 protein,3.426660107,4.5086E-07
P25070,AT5G37770.1,EF hand calcium-binding protein family,3.3990075,3.28128E-05
O80977,AT2G14740.1,vaculolar sorting receptor 3,3.334202713,5.96713E-05
F4I9G5,AT1G42470.1,Patched family protein,3.328059061,2.5338E-07
Q6NPN4,AT1G77630.1,Peptidoglycan-binding LysM domain-containing protein,3.314686225,9.64726E-07
Q9SZ11,AT4G26690.1,PLC-like phosphodiesterase family protein,3.265566169,8.28297E-08
Q9SN38,AT4G18760.1,receptor like protein 51,3.216857978,5.73902E-06
Q9STG2,AT3G46900.1,copper transporter 2,3.21305436,5.77821E-07
P93004,AT4G35100.1,plasma membrane intrinsic protein 3,3.181669929,2.6957E-06
Q8VZ18,AT3G44150.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: cultured cell; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G11800.1); Has 76 Blast hits to 75 proteins in 19 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 74; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,3.148066432,0.000180177
Q9SSG3,AT1G74790.1,catalytics,3.146691897,1.12903E-06
Q9C6B8,AT1G73590.1,Auxin efflux carrier family protein,3.09659532,1.19429E-06
Q9FJ62,AT5G55480.1,SHV3-like 1,3.082512182,4.90645E-08
Q8GYN5,AT3G25070.1,RPM1 interacting protein 4,3.031191679,1.73963E-05
Q8LC95,AT5G25090.1,early nodulin-like protein 13,2.987858236,6.0669E-06
Q9FFH6,AT5G44130.1,FASCICLIN-like arabinogalactan protein 13 precursor,2.984761271,0.000279364
Q9SCT4,AT3G51740.1,inflorescence meristem receptor-like kinase 2,2.971566784,1.10217E-06
Q9ZVC7,AT2G27130.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,2.958994931,1.19429E-06
Q9SVW8,AT4G35470.1,plant intracellular ras group-related LRR 4,2.940408071,9.89954E-07
Q944A9,AT2G35190.1,novel plant snare 11,2.927404925,2.40502E-05
Q9SRK7,AT3G10960.1,AZA-guanine resistant1,2.924321347,3.31578E-06
Q9ZVA7,AT1G78880.1,Ubiquitin-specific protease family C19-related protein,2.923675729,8.02401E-07
P30188,AT2G41410.1,Calcium-binding EF-hand family protein,2.909995226,0.000713376
Q38919,AT1G20090.1,RHO-related protein from plants 2,2.896932647,2.59567E-05
Q9LUT6,AT3G17350.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G50290.1); Has 203 Blast hits to 203 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 203; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,2.887665163,1.71405E-06
O22126,AT2G45470.1,FASCICLIN-like arabinogalactan protein 8,2.885704043,5.28141E-07
Q9FM65,AT5G55730.2,FASCICLIN-like arabinogalactan 1,2.876390324,5.28141E-07
Q9FMF7,AT5G64290.1,dicarboxylate transport 2.1,2.876169291,1.39336E-05
Q9LVI6,AT3G17840.1,receptor-like kinase 902,2.867119835,5.80039E-07
Q9SZ51,AT4G31840.1,early nodulin-like protein 15,2.810051084,7.02069E-06
Q9ZUP5,AT2G19440.1,O-Glycosyl hydrolases family 17 protein,2.805093853,2.95717E-06
Q94BT2,AT3G07390.1,auxin-responsive family protein,2.796094445,6.32325E-06
Q9S7E6,AT1G76300.1,snRNP core protein SMD3,2.787630034,5.628E-07
Q9LF79,AT5G57110.2,"autoinhibited Ca2+ -ATPase, isoform 8",2.787049246,8.02401E-07
