accession,length,expAA,First,PredHel,Topology
AT1G01090.1,len=428,ExpAA=2.63,First60=0.00,PredHel=0,Topology=o
AT1G01100.1,len=112,ExpAA=7.10,First60=1.07,PredHel=0,Topology=o
AT1G01170.1,len=83,ExpAA=12.96,First60=12.95,PredHel=1,Topology=i7-24o
AT1G01300.1,len=485,ExpAA=20.29,First60=19.50,PredHel=1,Topology=i7-29o
AT1G01620.1,len=286,ExpAA=130.86,First60=7.41,PredHel=6,Topology=i53-75o90-112i133-155o175-194i207-229o255-277i
AT1G01940.1,len=160,ExpAA=0.04,First60=0.01,PredHel=0,Topology=o
AT1G01960.1,len=1750,ExpAA=0.17,First60=0.00,PredHel=0,Topology=o
AT1G02130.1,len=203,ExpAA=0.03,First60=0.03,PredHel=0,Topology=o
AT1G02140.1,len=150,ExpAA=0.42,First60=0.00,PredHel=0,Topology=o
AT1G02180.1,len=226,ExpAA=12.91,First60=8.26,PredHel=0,Topology=o
AT1G02280.1,len=297,ExpAA=0.23,First60=0.01,PredHel=0,Topology=o
AT1G02305.1,len=362,ExpAA=19.70,First60=19.64,PredHel=1,Topology=i13-32o
AT1G02370.1,len=537,ExpAA=0.23,First60=0.17,PredHel=0,Topology=o
AT1G02530.1,len=1273,ExpAA=235.60,First60=18.49,PredHel=9,Topology=i42-64o93-115i166-185o190-212i272-294o704-726i747-769o840-862i931-953o
AT1G02560.1,len=298,ExpAA=6.19,First60=0.01,PredHel=0,Topology=o
AT1G02780.1,len=214,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G02816.1,len=166,ExpAA=14.50,First60=14.45,PredHel=0,Topology=o
AT1G02900.1,len=120,ExpAA=21.44,First60=21.44,PredHel=1,Topology=i7-29o
AT1G02930.1,len=208,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G03220.1,len=433,ExpAA=14.66,First60=14.30,PredHel=0,Topology=o
AT1G03330.1,len=93,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G03870.1,len=247,ExpAA=5.19,First60=4.96,PredHel=0,Topology=o
AT1G04170.1,len=465,ExpAA=0.10,First60=0.00,PredHel=0,Topology=o
AT1G04260.1,len=182,ExpAA=75.65,First60=5.67,PredHel=3,Topology=i58-80o95-117i124-146o
AT1G04410.1,len=332,ExpAA=13.74,First60=13.41,PredHel=0,Topology=o
AT1G04690.1,len=328,ExpAA=0.17,First60=0.07,PredHel=0,Topology=o
AT1G04780.1,len=664,ExpAA=0.06,First60=0.00,PredHel=0,Topology=o
AT1G04850.1,len=413,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G05150.1,len=808,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G05190.1,len=223,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G05350.1,len=431,ExpAA=2.08,First60=0.00,PredHel=0,Topology=o
AT1G05520.1,len=783,ExpAA=0.73,First60=0.00,PredHel=0,Topology=o
AT1G05840.1,len=485,ExpAA=23.36,First60=12.09,PredHel=0,Topology=o
AT1G05850.1,len=321,ExpAA=25.12,First60=20.02,PredHel=1,Topology=i7-24o
AT1G06220.2,len=987,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
AT1G06400.1,len=216,ExpAA=0.26,First60=0.05,PredHel=0,Topology=o
AT1G06430.1,len=685,ExpAA=12.01,First60=0.51,PredHel=0,Topology=o
AT1G06560.1,len=599,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G06660.1,len=481,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT1G06670.1,len=1576,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G06690.1,len=377,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G06700.1,len=361,ExpAA=0.12,First60=0.00,PredHel=0,Topology=o
AT1G06840.1,len=953,ExpAA=46.20,First60=21.28,PredHel=2,Topology=i7-29o561-583i
AT1G06950.1,len=1016,ExpAA=42.36,First60=0.00,PredHel=0,Topology=o
AT1G07140.1,len=228,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G07170.1,len=110,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G07360.1,len=481,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G07750.1,len=356,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G07770.1,len=130,ExpAA=0.06,First60=0.03,PredHel=0,Topology=o
AT1G07820.1,len=103,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G08040.1,len=382,ExpAA=22.55,First60=22.55,PredHel=1,Topology=i20-42o
AT1G08360.1,len=216,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G08640.1,len=294,ExpAA=55.66,First60=0.08,PredHel=3,Topology=o165-182i234-256o276-293i
AT1G08780.1,len=129,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G08820.1,len=386,ExpAA=21.09,First60=0.00,PredHel=1,Topology=o362-384i
AT1G09070.1,len=324,ExpAA=18.20,First60=0.00,PredHel=0,Topology=o
AT1G09150.1,len=181,ExpAA=0.25,First60=0.05,PredHel=0,Topology=o
AT1G09160.2,len=428,ExpAA=0.06,First60=0.00,PredHel=0,Topology=o
AT1G09330.1,len=186,ExpAA=77.02,First60=32.53,PredHel=3,Topology=o32-54i106-128o133-152i
AT1G09590.1,len=164,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G09620.1,len=1091,ExpAA=0.14,First60=0.03,PredHel=0,Topology=o
AT1G09630.1,len=217,ExpAA=0.07,First60=0.02,PredHel=0,Topology=o
AT1G09740.1,len=171,ExpAA=0.07,First60=0.01,PredHel=0,Topology=o
AT1G09760.1,len=249,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G09770.1,len=844,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G09780.1,len=557,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G09850.1,len=437,ExpAA=1.86,First60=1.85,PredHel=0,Topology=o
AT1G09960.1,len=510,ExpAA=260.25,First60=17.74,PredHel=12,Topology=i42-64o77-99i112-134o149-167i188-210o235-254i290-312o334-356i368-390o405-427i439-461o476-498i
AT1G10200.1,len=190,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G10390.1,len=1041,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G10510.1,len=605,ExpAA=7.45,First60=0.00,PredHel=0,Topology=o
AT1G10580.1,len=573,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
