Protein.Acc,uniprot,Protein.Descriptions,up/low,P value.(up/low),length,Mass,pI,charge,alphaHelixIndex,BetaSheet,hdrophobicity,instabilityIndex
AT1G01090.1,O24457,pyruvate dehydrogenase E1 alpha,1.577381302,5.25187e-4,428,47173.93584,7.545106620581876,-2.2951931128675764,0.6902949145158017,0.7836090203892091,-0.269392523364486,40.16191588785047
AT1G01100.2,Q8LCW9,60S acidic ribosomal protein family,1.054999261,0.588018531,112,11161.66604,3.9956979047923857,-9.327335244152248,0.6504822169081647,0.4208462295407742,0.21428571428571427,55.87946428571429
AT1G01170.1,Q2HIQ2,Protein of unknown function (DUF1138),0.911896283,0.680426161,83,9062.42084,10.322321020523061,3.964586140639674,0.5278110461604927,0.4016659626665643,-0.17590361445783131,18.987951807228914
AT1G01300.1,Q9LNJ3,Eukaryotic aspartyl protease family protein,1.202946905,5.41315e-4,485,52175.28304,9.161108472286871,9.880366297914295,0.7798607185012574,0.7011495237351846,-0.040412371134020644,40.5779381443299
AT1G01470.1,O03983,Late embryogenesis abundant protein,0.767382026,0.045470158,151,16543.04484,4.532039146577523,-7.318216895946183,0.6953561154179349,0.6365009152598249,0.05629139072847681,10.793377483443711
AT1G01620.1,Q08733,plasma membrane intrinsic protein 1C,8.094715824,3.23802e-6,286,30632.60504,9.084345005878644,3.8486330176378836,0.5850918520828313,0.6691631404051729,0.3811188811188811,32.249300699300704
AT1G01710.1,Q8GYW7,Acyl-CoA thioesterase family protein,0.75091435,0.002745719,427,48155.09274,7.612836863504936,-1.9523476916158278,0.5819637444469649,0.7226405963737454,-0.22459016393442624,33.91475409836066
AT1G01820.1,Q9LQ73,peroxin 11c,0.675749276,2.71389e-4,235,25912.42754,10.406650397926226,13.791455396756481,0.8958679677546726,0.7151259345614821,-0.022978723404255337,23.732340425531916
AT1G01940.1,Q9LPC7,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein,1.328545781,4.92633e-4,160,17502.96364,8.486948143350158,1.1588407307607675,0.713776132876971,0.7223119043324217,-0.31250000000000006,18.38125
AT1G01960.1,Q9LPC5,SEC7-like guanine nucleotide exchange family protein,0.952867165,0.17082962,1750,194942.55064,5.3487616711152235,-52.91119862746221,0.9530349075347192,0.8148654687623598,-0.12200000000000001,42.06697142857143
AT1G02120.1,Q8VZF8,GRAM domain family protein,0.546870088,0.002163403,598,67701.86054,6.2477985982585444,-15.111331558847935,0.8005064175485938,0.7176234679063779,-0.39180602006688964,53.48511705685619
AT1G02130.1,P28188,RAS 5,1.036266966,0.271538619,203,22648.48564,4.76975124883457,-5.945702644577718,0.7199827363292237,0.8015931610828265,-0.37389162561576356,32.04778325123153
AT1G02140.1,O23676,mago nashi family protein,1.199373818,0.011672031,150,17457.88214,5.328267293796086,-5.889308044955289,0.7136250184940959,0.6801944323719503,-0.4033333333333333,43.084666666666664
AT1G02180.1,Q8GYG8,ferredoxin-related,2.535343347,5.8937e-7,226,24787.53914,7.406504334021306,-3.1550185125559835,0.7238844037734031,0.5283038372628551,0.11681415929203535,38.12566371681416
AT1G02280.2,O23680,translocon at the outer envelope membrane of chloroplasts 33,1.481068345,8.49154e-4,297,32925.17184,9.591319151110234,5.363588947750786,0.7388925378708383,0.5851727578387629,-0.13973063973063973,22.62087542087542
AT1G02305.1,Q93VC9,Cysteine proteinases superfamily protein,1.375661244,5.00578e-4,362,40033.30634,6.9065221740937295,-7.635270884672176,0.6429469920748562,0.574628589078562,-0.21657458563535914,31.164917127071824
AT1G02370.1,Q9FZ24,Tetratricopeptide repeat (TPR)-like superfamily protein,1.181006114,0.003515941,537,60353.17524,6.272400084114533,-8.964308522368972,0.7987386967884149,0.7224887658512376,-0.32327746741154567,39.2195530726257
AT1G02530.1,Q9FWX8,P-glycoprotein 12,1.225910434,0.206687026,1273,136773.65484,7.875170329990128,-1.5365414700876356,0.791126885660614,0.7834264336054044,0.1805970149253731,31.773055773762763
AT1G02560.1,Q9S834,nuclear encoded CLP protease 5,1.049961213,0.515868164,298,32355.89174,8.435878645156894,1.121776709900192,0.6288791371316329,0.6947592327524399,-0.19765100671140942,44.051342281879194
AT1G02780.1,Q9SRX2,Ribosomal protein L19e family protein,1.06596478,0.146305064,214,24606.30094,11.940648782866711,46.697451740178934,0.9937478789979884,0.7554010474938341,-0.9892523364485981,53.28411214953271
